simulation_id,time,interval,perturbation_density,recovery_beta,gamma,decay,noise,mean_r,min_r,mean_D,max_D,reachable_fraction,effective_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,future_weighted_efficiency,future_reachable_fraction,future_deterioration,future_efficiency_delta,noise_numeric
12,71,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.1998998479241308,9.200126339142383,0.8888888888888888,228,0.8636363636363636,13.126821495074259,64.09377440804926,0.10543765164552704,0.10548357158358067,0.8888888888888888,0,-4.5919938053626264e-05,0
12,72,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.19790084944488948,9.108125075750959,0.8888888888888888,228,0.8636363636363636,13.126417782358418,64.0901409936067,0.10544014275505648,0.10548566229542816,0.8888888888888888,0,-4.551954037168571e-05,0
12,73,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.19592184095044057,9.017043824993449,0.8888888888888888,228,0.8636363636363636,13.126017944485865,64.08654245275373,0.10544261242148764,0.1054877345188811,0.8888888888888888,0,-4.5122097393462957e-05,0
12,74,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.19396262254093619,8.926873386743514,0.8888888888888888,228,0.8636363636363636,13.125621945841209,64.08297846495182,0.10544506079796437,0.10548978839517242,0.8888888888888888,0,-4.472759720805519e-05,0
12,75,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.1920229963155268,8.83760465287608,0.8888888888888888,228,0.8636363636363636,13.125229751105646,64.07944871233177,0.10544748803711303,0.10549182406486982,0.8888888888888888,0,-4.433602775678891e-05,0
12,76,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.19010276635237153,8.749228606347318,0.8888888888888888,228,0.8636363636363636,13.124841325255119,64.075952879677,0.10544989429103294,0.10549384166787065,0.8888888888888888,0,-4.394737683771632e-05,0
12,77,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.18820173868884782,8.661736320283845,0.8888888888888888,228,0.8636363636363636,13.124456633558431,64.0724906544068,0.1054522797112867,0.1054958413433973,0.8888888888888888,0,-4.356163211059749e-05,0
12,78,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.18631972130195937,8.575118957081006,0.8888888888888888,228,0.8636363636363636,13.124075641575397,64.06906172655953,0.10545464444889112,0.10549782322999232,0.8888888888888888,0,-4.3178781101202435e-05,0
12,79,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.18445652408893976,8.489367767510196,0.8888888888888888,228,0.8636363636363636,13.123698315154988,64.06566578877585,0.10545698865430818,0.1054997874655142,0.8888888888888888,0,-4.27988112060157e-05,0
12,80,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.18261195884805034,8.404474089835093,0.8888888888888888,228,0.8636363636363636,13.123324620433449,64.06230253628198,0.10545931247743641,0.10550173418713306,0.8888888888888888,0,-4.242170969664949e-05,0
12,81,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.18078583925956984,8.320429348936742,0.8888888888888888,228,0.8636363636363636,13.122954523832446,64.05897166687296,0.10546161606760235,0.10550366353132658,0.8888888888888888,0,-4.204746372422907e-05,0
12,82,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.17897798086697414,8.237225055447373,0.8888888888888888,228,0.8636363636363636,13.122587992057207,64.05567288089583,0.10546389957355241,0.10550557563387626,0.8888888888888888,0,-4.167606032384752e-05,0
12,83,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.1771882010583044,8.154852804892899,0.8888888888888888,228,0.8636363636363636,13.12222499209466,64.05240588123289,0.10546616314344502,0.10550747062986361,0.8888888888888888,0,-4.130748641859028e-05,0
12,84,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.17541631904772134,8.07330427684397,0.8888888888888888,228,0.8636363636363636,13.121865491211558,64.04917037328497,0.10546840692484276,0.10550934865366679,0.8888888888888888,0,-4.0941728824031576e-05,0
12,85,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.17366215585724412,7.99257123407553,0.8888888888888888,228,0.8636363636363636,13.121509456952639,64.0459660649547,0.10547063106470499,0.10551120983895716,0.8888888888888888,0,-4.057877425217571e-05,0
